ytid,start_s,end_s,audioset_positive_labels,aspect_list,caption,author_id,is_balanced_subset,is_audioset_eval
-Gf4Ihv1zwc,50,60,"/m/04rlf,/t/dd00034","['christmas', 'festive', 'celtic', 'female vocal', 'melodic singing', 'strings', 'piano', 'harp', 'dulcimer', 'calming', 'positive']","This is a Christmas music piece with heavy influences from Celtic music. There is a female vocalist singing melodically as the lead. The melodic background is provided by the strings and the piano and at the same time Celtic instruments that resemble a harp and a dulcimer. There is a calming and positive aura to this piece. It could be playing in the background at a Christmas party. It could also be used in Christmas-themed shows or social media content.",9,False,True
-JvB5AL59fM,30,40,"/m/04rlf,/m/06j6l,/t/dd00031,/t/dd00035","['rock', 'e-guitars', 'e-bass', 'acoustic drums', 'keys', 'female voice singing', 'male backing voice', 'uptempo']","An acoustic drum is playing a simple rock groove with some drum fills on the toms and snare along with a distorted e-bass and e-guitar playing the same line. Panned to the right side of the speaker you can hear a piano sound playing a little melody. A female voice is singing a happy sounding melody while male backing voices are supporting her. This song may be playing sitting in your room enjoying being at home alone.",6,False,True
-NmjCyqIavI,30,40,"/m/02cz_7,/m/04rlf,/m/0y4f8","['amateur recording', 'beatboxing', 'female voice', 'funny', 'comedic']","This is an amateur recording of a female voice beatboxing. It is a funny recording. It could be playing in the background of comedic social media content.",9,False,False
-O9mnfC61Ac,0,10,"/m/01lyv","['country music', 'fiddle', 'acoustic guitar', 'electric guitar', 'gentle playing', 'slow tempo', 'easygoing', 'sentimental', 'longing']","This is a country music piece. There is a fiddle playing the main melody. The acoustic guitar and the electric guitar are playing gently in the background. The song has a slow tempo. The atmosphere is sentimental. This piece can be used in the soundtrack of an American drama movie, especially during the scenes where the feeling of longing is emphasized.",9,False,False
-OUIEnuNd1I,30,40,"/m/04rlf,/m/04wptg","['classical', 'baroque', 'canon', 'single instrument', 'instrumental', 'harp', 'catchy', 'iconic', 'calming', 'hopeful', 'positive', 'wedding music']","This is a classical music piece belonging to the baroque period. The piece is being performed with a harp. There is a catchy tune being played with a positive aura. This piece could suit well as wedding music. It could be used in the soundtrack of a documentary. It could also be playing in the background of a classy restaurant or a museum.",9,False,True
-Q9MTRXS4bE,30,40,"/m/024dl,/m/04rlf","['instrumental', 'fast tempo', 'happy', 'perky', 'punchy', 'background sounds super imposed by music', 'digital pads', 'lively', 'synthesised violins', 'upbeat', 'synthesiser arrangements', 'lively piano harmony', 'punchy digital drum rhythm', 'sound of beeping', 'funky bass line', 'tapping']","This music is a spirited instrumental. The tempo is fast with an animated Piano harmony, synthesiser  arrangements, synthesised violins, rhythmic digital drums, funky bass lines and electronic sounds. The music is superimposed over sounds of tapping and rhythmic beeping. The music is happy, perky, upbeat, enthusiastic, lively and spirited.",7,False,True
-QuWdnmn-kM,30,40,"/m/04rlf,/m/0fd3y","['sustained piano synth', 'lullaby', 'bright xylophone', 'mellow mellody', 'bass guitar', 'dreamy', 'kids music', 'slow tempo', 'nostalgic', 'cello', 'no vocals', 'sleepy']","This is a lullaby that features a main melody made with a xylophone that has a bright sound. A sustained piano synth creates a dreamy and sleepy ambience sound. A subtle cello plays single chords that bounce from one beat to the next. This is a song a baby could fall asleep to.",5,False,True
-R0267o4lLk,60,70,"/m/0239kh,/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md","['latin percussion', 'complex rhythms', 'medium to uptempo']","You can hear two people playing various percussive instruments. One is holding the same beat playing on congas while the other is playing a solo changing rhythms and percussive sounds in a complex manner. This song may be playing live demonstrating a solo run.",6,False,False
-SD43H5B5hE,520,530,"/m/01jg02,/m/01jg1z,/m/04rlf","['soundeffects', 'cinematic', 'amateur recording']","There is a low sound that reminds of a heartbeat rising in tempo before a splash-like metallic sound with reverb comes in and breaks the atmosphere in half. This audio may be used for a movie scene. This audio is in poor quality.",6,False,True
-SWaCArvQug,21,31,"/m/04rlf,/m/0fqfqc","['ambient room noise', 'instrumental', 'male singer', 'beep tones', 'wind noise', 'doorsteps', 'noise', 'non musical tones', 'home improvement video', 'unimpressive sounds', 'drawer closing', 'home video', 'passionate singing', 'medium tempo']","Ambient sound still in the room with a mild background music playing.  A male singer sings a passionate melody with subtle background music. The audio quality is very poor with drawer sliding sound and general noise.",1,False,True
-VI2IRq17rs,360,370,"/m/0395lw","['bell', 'faint speaking', 'male voice', 'resonance', 'live recording']","In this clip, a large bell is rung and left to ring. We can hear the resonance in the room as the bell rings. There is then the faint sound of a male speaking in the background. It's a live recording.",3,False,False
-W5c6CeUMPE,40,50,"/m/01swy6,/m/04rlf,/m/0l14j_,/m/0mkg","['swiss folk music', 'yodeling', 'male vocal', 'female vocal', 'duet', 'melodeon', 'pastoral']","This is a Swiss folk music piece. There is a male vocal and there is a female vocal. They are yodeling as a duet. The melody in the background is being played by a melodeon. There is a pastoral feel to it. This piece could be used in the soundtrack of a movie that takes place in the Alps region.",9,False,False
-XkbErI_7EU,50,60,"/m/01kcd,/m/0319l","['slow jazz song', 'barbershop quartet', 'trumpets', 'double bass', 'vocal harmony', 'male voices', 'piano', 'slow tempo', 'romantic song']","This slow jazz song features male voices singing the main melody in harmony. This is accompanied by percussion playing a simple beat. The double bass plays the root notes of the chords. Trumpets play a fill in harmony in between lines. A piano plays an arpeggiated chord at the end of the first line. This song has a romantic mood. This song can be played in a classic romantic movie.",0,False,False
-YATTKBtmRA,190,200,"/m/01s0ps,/m/05148p4,/m/05r5c","['hip-hop', 'electronic', 'crisp synth', 'melodic pad', 'piano sample', 'strong bass', 'loud electronic drums', 'modern sounding', 'aggressive', 'energetic']","This is a hip-hop music piece. There is a crisp synth sound playing the melody. The piece has a strong bass sound. There is a melodic pad with beat repeat effect that uses a piano sample. The rhythmic background is provided by a loud electronic drum beat. The piece is energetic and modern sounding. It could be used in the soundtrack of a sci-fi movie where there is a lot of action going on.",9,False,False
-YIT4HBM__g,30,40,"/m/04rlf,/m/0y4f8,/m/0z9c","['female singer', 'high notes', 'choral harmony', 'ethereal', 'vocal vibrations', 'ethereal', 'soprano', 'alto', 'whirring sound', 'seconds', 'melodic', 'angelic', 'celestial', 'no instruments', 'sound of chatter', 'rustling', 'scuffling', 'harmonious', 'amateur recording', 'mediocre sound recording', 'inferior audio quality', 'quality of']","A female vocalist sings this mellifluous song.The tempo is slow with the vocalist singing a soprano, with alto choral harmony. There are sounds of rustling, whirring,scuttling and people talking in the background. The vocals are beautiful, mellifluous,and ethereal.",7,False,True
-ZHpNr_KRXU,30,40,"/m/02w4v,/m/04rlf","['folkmusic', 'amateur recording', 'accordion', 'percussion', 'male voice singing', 'higher register', 'medium to uptempo']","Someone is playing a percussive instrument that reminds a little bit of a tabla while someone else is playing a fast melody on an accordion. A male voice is singing at a higher pitch. This song may be playing live.",6,False,False
-_OzT7Xyvok,30,40,"/m/0155w,/m/0326g,/m/04rlf,/m/05rwpb,/m/06j6l","['amateur recording', 'two acoustic guitars', 'flamenco', 'nylon string guitar', 'technically challenging', 'sloppy']","Amateur recording of two nylon string guitars playing in flamenco style. The playing is technically challenging yet sloppy.",8,False,False
-bgHkxwoliw,30,40,"/m/04rlf,/m/04wptg","['pop', 'digital drums', 'e-guitar', 'keyboard melodies', 'male voice singing', 'higher register', 'bass', 'uptempo', 'positive atmosphere']","Digital drums are playing a four on the floor rhythm with a kick on every beat along with a bassline and a keyboard sound playing short rhythmic chords and a e-guitar playing a simple melody along. A male voice is singing in a higher key. This song may be playing at a folkfest.",6,True,True
-cLzki-B06o,30,40,"/m/04rlf,/m/0gywn","['arabesque', 'kurdish folk music', 'baglama', 'zurna', 'electronic drums', 'percussion', 'upbeat', 'lively', 'folk dance', 'halay']","This is a Kurdish folk music piece. The main melody is first played by the baglama and then by the zurna. The rhythmic background consists of an electronic drum beat and supportive percussive elements. The atmosphere is lively. This piece could be used as an accompaniment piece for a folk dance course such as the halay dance.",9,False,False
-cQ-jUTEgck,30,40,"/m/02p0sh1,/m/04rlf","['southern rock', 'blues rock', 'live performance', 'electric guitar', 'guitar solo', 'keyboard', 'bass guitar', 'acoustic drums', 'groovy']","This is a live performance of a southern rock piece. There is an electric guitar playing a blues solo. There is a bass guitar playing in the background. The rhythm is being played by the acoustic drums. The atmosphere is groovy. This piece could be playing in the background at a rock bar.",9,False,False
-dVgUSrR8g4,30,40,"/m/03lty,/m/04rlf,/m/0dl5d","['intense', 'vigorous', 'loud electric guitar feedback', 'intense', 'psychedelic', 'trap', 'trance', 'hard rock', 'enthusiastic', 'energetic', 'spirited', 'hyper', 'fast tempo', 'goth rock', 'heavy  metal', 'amplified guitar', 'intense drumming', 'chattering sounds', 'scratching', 'screeching', 'vigorous keyboard']","This song is a vigorous metal instrumental. The tempo is fast with intense drumming,  fiery electric guitar riff, amplified guitar rhythms and energetic keyboard accompaniment. The music is energetic, aggressive, youthful, spirited, goth, intense,psychedelic and trance like. This instrumental is Hard Rock/Metal.",7,False,True
-e4wXAy1iVo,0,10,"/m/015lz1,/m/04rlf,/m/07xzm","['pop', 'ukulele', 'female voices singing', 'harmony', 'amateur recording', 'medium to uptempo']","Two female voices are singing in harmony to a ukulele strumming chords. One of the voices is deeper and the other one higher. This song may be jamming together at home.",6,False,True
-eDAoheZrY8,30,40,"/m/04rlf,/t/dd00036","['movie soundtrack', 'philharmonic orchestra', 'crescendo', 'booming lower harmony', 'average audio quality', 'tense', 'sci-fi music', 'string section harmony', 'suspenseful music', 'horn section', 'drums playing slowly', 'instrumental music', 'mysterious', 'science fiction', 'exploring dangerous territory', 'tuba', 'building tension']","The song is an instrumental. The song is slow tempo with building crescendo , string section harmony, horn section, drums playing steadily and piano accompaniment. The song is suspenseful and builds anticipation. The song is a movie soundtrack and has an average audio quality.",1,False,True
-f1DNyngKVY,30,40,"/m/015vgc,/m/04rlf,/m/0jtg0","['sitar', 'no singer', 'instrumental', 'single instrument', 'medium-to-high range', 'transcendental', 'relaxing', 'calming', 'meditation']","This is an instrumental sitar music piece. The sitar is being played at a medium-to-high range. There is a calming and relaxing atmosphere to this piece. This piece can be used in the background of a meditation video. It could also be played during a meditation session at a course.",9,False,True
-f6s6kQEHFY,0,10,"/m/04rlf,/t/dd00033","['slow pop', 'ethereal song', 'ambient sounds', 'no lyrics', 'female voice', 'autotune voice', 'piano song', 'synth sounds', 'slow tempo', 'bass', 'no percussion', 'haunting melody']","This slow ballad features a female voice singing the main melody. This is accompanied by a repetitive piano melody. The bass plays the root notes of the chords in staccato style in eighth note patterns. Synth horns play in the background at different pitches. The song has an ambient and ethereal feel. The mood of the song is haunting. This song can be played in a sad scene in a movie.",0,False,True
-fxh7jAJR8U,70,80,"/m/028sqc,/m/04rlf","['boy band', 'male singers', 'vocal harmony', 'retro pop hits', 'singing parts', 'medium tempo', 'keyboard accompaniment', 'steady drumming rhythm', 'steady bass line', 'tambourine percussions', 'love song', 'romantic', 'passionate', 'groovy music', 'inspiring', 'passionate', 'spirited', 'soothing', 'relaxing', 'comforting', 'bells percussions']","Male singers sing this vocal harmony. The tempo is medium with a steady drumming rhythm, various percussion tones, keyboard accompaniment, steady bass line and tambourine percussion. The song is soothing and romantic. The song is a retro pop hit.",1,False,False
-hSMzrWZCAE,30,40,"/m/02x8m,/m/04rlf,/m/064t9,/m/06rqw,/t/dd00035","['male voice', 'electric guitar', 'distortion effect', 'drums', 'synth bass', 'pop rock genre']","The pop rock music features a male voice singing. An electric guitar with a distortion effect on plays plays two chords every two measures. The drums play a strong rhythm and together with a synth bass drive the pulse of the music.",2,False,True
-i9gpG3vPwA,30,40,"/m/04rlf,/m/07qsvvw","['instrumental', 'two tracks', 'electronic music', 'harmonic', 'futuristic', 'engaging', 'captivating', 'dance groove', 'electro pop', 'unrelated tracks', 'synthesiser articulation', 'funky drumming', 'enthusiastic digital drum rhythm', 'keyboard harmony', 'dance pop', 'edm', 'pleasant', 'ambient', 'amplified paino', 'surround sound']","This audio clip is an electronic instrumental of two different tracks with medium fast tempo. The first tempo has an amplified piano playing an emphatic harmony along with digital drums. The second track has emphatic digital drums and electronic /synthesised music arrangement. Both the tracks are melodious, pleasant, harmonic, futuristic, captivating and engaging with a dance groove.",7,False,True
-i9uQMysy_A,80,90,"/m/02cz_7,/m/04rlf","['beat boxing', 'vocal percussion', 'mimicking drum machines', 'vocal percussion simulation', 'vocal sound effects', 'rap', 'hip hop', 'vocalisation', 'rapid', 'vigorous drumming sound', 'digital drum sounds', 'vocal percussion', 'vocal turn table', 'vigorous', 'tireless', 'energetic', 'vocal drum machine']","This audio clip is of a male vocalist beat boxing. The tempo is fast with the vocalist mimicking vigorous drumming, drum machine rhythms, turn table and other percussions.the rhythm is vigorous, energetic and tireless.",7,False,True
-jpbCWcz2pk,30,40,"/m/04rlf,/m/0l14gg,/t/dd00031","['comedy', 'hip-hop', 'male vocal', 'rapping', 'piano', 'electric guitar', 'bass guitar', 'electronic drums', 'funny', 'amusing', 'hip']","This is a comedic hip-hop music piece. There is a male vocal rapping in the lead. The melody in the beat is being played by the piano and the electric guitar while a bass guitar plays in the background. The rhythm is provided by an electronic drum beat. The piece has an amusing aura to it. It could be used in the background of funny social media content.",9,False,False
-kpR93atgd8,30,40,"/m/015y_n,/m/0164x2,/m/04rlf,/m/06cqb","['ska', 'saxophone', 'e-guitar', 'acoustic drums', 'percussion', 'keys', 'e-bass', 'fast tempo', 'uplifting energy']","An acoustic drum is playing along with a bassline giving the song a ska/reggae feeling. The e-guitar strumming on the offbeat supports that feeling while a keyboard is playing a bell-sounding chord. Bongos are setting little accents at the end. A saxophone is playing a melody along. This song may be playing at a festival outside while the sun is shining.",6,True,True
-lPXTBXa0tE,30,40,"/m/01glhc,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/06w87,/m/07s0s5r,/m/0fx80y","['bad audio quality', 'vintage guitar tone', 'passionate', 'spirited', 'guitar demo', 'soloist', 'antique guitar', 'youtube music class', 'master class', 'buzzing noise', 'instrumental music', 'ambient room noise', 'bad audio quality', 'super tone unique tone', 'melancholic', 'country music', 'medium tempo', 'rich country traditions']","The song is an instrumental. The song is medium tempo played by a solo guitarist on a vintage super tone with an exquisite tone. The song is emotional and passionate. The song has poor audio quality.",1,False,True
-m5ZlWziIeA,200,210,"/m/01hgjl,/m/02lkt,/m/03mb9,/m/04rlf","['amateur recording', 'vinyl scratching', 'programmed percussion', 'bass', 'synth sounds', 'moderate tempo', 'male voice', 'dj song']","This amateur recording features a vinyl scratch being played on a DJ console. This is accompanied by programmed percussion playing a simple beat at a fast tempo. The hi-hat is struck in eighth notes. The snare and kick are played in a unique pattern. A synth plays a two-note lick at different intervals. Other instruments are not audible as the audio quality is low.",0,False,False
-mB_XLq6g1g,30,40,"/m/01kcd,/m/07gql","['amateur recording', 'kids voice streaming', 'trumpets', 'acoustic drums', 'e-bass', 'out of tune', 'parody', 'medium to uptempo']","This audio contains an acoustic drum playing a groove along with a simple bassline. Trumpets are playing a melody that sounds out of tune and all over the place while a kids voice is streaming and you can hear some aggressive clicking sounds. This song may be playing for a parody video.",6,False,False
-o0ZtQIkM60,30,40,"/m/04rlf,/t/dd00037","['video game theme', 'cinematic strings', 'wind sound effect', 'male choir', 'percussion', 'epic', 'dramatic', 'tension']","This is a video game theme. There is a cinematic string sound playing the melody while the wind sound effect implies there is a snowstorm. A male choir starts singing alongside orchestral percussive elements. There is an epic atmosphere. This piece could fit well in the soundtrack of a thriller video game where there is a face-off about to happen.",9,False,False
-oP-XX28B0s,30,40,"/m/04rlf,/m/0gywn","['male singer', 'hip hop music', 'backup singers', 'live performance', 'live audience', 'super hits', 'piano accompaniment', 'groovy bass line', 'steady drumming line', 'slick drumming rhythm', 'emotional', 'romantic', 'passionate', 'together forever', 'love song', 'hip hop hits', 'groovy rhythm', 'dance song', 'hip hops love song', 'clapping rhythm']","A male singer sings this cool hip hop love song with backup singers in vocal harmony. The tempo is medium with keyboard accompaniment, piano accompaniment, steady drumming rhythm, clapping percussion and other sonic effects. The song is emotional and romantic with a cool dance  groove,",1,False,False
-pUfYFcsgG4,0,10,"/m/0395lw,/m/04rlf,/t/dd00128","['amateur recording', 'bell sounds', 'birds singing']","This recording contains environmental sounds such as birds singing. Then bells start playing a melody with a long release time. This is an amateur recording. This song may be playing outside in a park at a fixed time.",6,False,True
